influencer_id,name,category,gender,follower_count,platform
1,Allison Hill,Fitness,Female,393786,Instagram
2,Noah Rhodes,Wellness,Male,78158,Instagram
3,Angie Henderson,Yoga,Female,314588,Instagram
4,Daniel Wagner,Fitness,Male,54123,Instagram
5,Cristian Santos,Wellness,Male,299254,Instagram
6,Connie Lawrence,Yoga,Female,120574,YouTube
7,Abigail Shaffer,Yoga,Male,429374,YouTube
8,Gina Moore,Wellness,Female,183389,YouTube
9,Gabrielle Davis,Wellness,Female,405290,Instagram
10,Ryan Munoz,Fitness,Male,204191,Instagram
11,Monica Herrera,Nutrition,Female,321526,YouTube
12,Jamie Arnold,Fitness,Male,286137,YouTube
13,Lisa Hensley,Bodybuilding,Female,678856,Instagram
14,Michele Williams,Yoga,Male,307698,YouTube
15,Dylan Miller,Fitness,Male,351692,Instagram
16,Brian Ramirez,Nutrition,Male,453432,Instagram
17,Holly Wood,Fitness,Female,150738,YouTube
18,Derek Zuniga,Nutrition,Female,199081,Instagram
19,Lisa Jackson,Wellness,Male,372955,YouTube
20,Carla Gray,Yoga,Male,285043,Instagram
21,Margaret Hawkins DDS,Wellness,Female,203943,YouTube
22,Patty Perez,Yoga,Female,363935,Instagram
23,Ethan Adams,Fitness,Male,435861,Instagram
24,Tommy Walter,Nutrition,Male,145373,YouTube
25,Matthew Foster,Wellness,Female,116477,YouTube
26,Judy Baker,Bodybuilding,Female,249811,YouTube
27,Justin Baker,Wellness,Female,395588,Instagram
28,Stephanie Ross,Yoga,Female,475717,YouTube
29,Zachary Hicks,Nutrition,Female,77525,Instagram
30,Anthony Rodriguez,Fitness,Male,456465,Instagram
31,Rebecca Henderson,Wellness,Female,420277,Instagram
32,James Ferrell,Yoga,Female,206728,Instagram
33,Tricia Valencia,Yoga,Female,282408,YouTube
34,Nathan Maldonado,Yoga,Male,361664,Instagram
35,Debra Davidson,Yoga,Female,407967,YouTube
36,Jeffrey Chavez,Fitness,Male,232942,YouTube
37,Sherri Baker,Bodybuilding,Female,857168,Instagram
38,Cassandra Gaines,Yoga,Male,271171,Instagram
39,Elizabeth Fowler,Nutrition,Female,85131,Instagram
40,Brittany Farmer,Wellness,Female,319019,Instagram
41,Paula Moreno,Bodybuilding,Female,217301,Instagram
42,Fred Smith,Nutrition,Male,35369,Instagram
43,Sherry Decker,Yoga,Female,49907,Instagram
44,Anthony Humphrey,Fitness,Female,72314,Instagram
45,Angelica Tucker,Yoga,Female,143966,Instagram
46,Philip Cannon,Wellness,Female,378790,Instagram
47,John Pierce,Bodybuilding,Female,559381,YouTube
48,Shane Henderson,Fitness,Male,122806,Instagram
49,Joshua Blair,Nutrition,Male,313443,Instagram
50,Eric Carney,Yoga,Male,8770,Instagram
